countrycode,countryname,regioncode,coveragetype,year,datayear,datatype,isinterpolated,usemicrodata,ppp,povertyline,mean,headcount,povertygap,povertygapsq,watts,gini,median,mld,polarization,population,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10
ALB,Albania,ECA,3,1996,1996,,FALSE,TRUE,58.16801021,1.9,187.842681370002,0.01129,0.001912,5.56e-4,0.002311,0.2701,165.1,0.1191,,3.17,0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
ALB,Albania,ECA,3,2002,2002,,FALSE,TRUE,58.16801021,1.9,191.988042014931,0.02047,0.003545,0.001059,0.004368,0.3174,158.4,0.1648,,3.05,0.03494,0.04859,0.05842,0.06738,0.07653,0.08839,0.1023,0.1198,0.1493,0.2544
ALB,Albania,ECA,3,2005,2005,,FALSE,TRUE,58.16801021,1.9,217.03354077057801,0.01124,0.001827,4.781e-4,0.00214,0.306,184.7,0.1544,,3.01,0.03483,0.0492,0.05977,0.06921,0.07988,0.09037,0.1037,0.1213,0.1483,0.2434
ALB,Albania,ECA,3,2008,2008,,FALSE,TRUE,58.16801021,1.9,237.535319201932,0.003705,6.79e-4,1.859e-4,7.979e-4,0.2998,198.8,0.1489,,2.95,0.03734,0.05137,0.06088,0.06984,0.07912,0.08924,0.103,0.1193,0.1454,0.2446
ALB,Albania,ECA,3,2012,2012,,FALSE,TRUE,58.16801021,1.9,225.269160998031,0.01064,0.002174,7.37e-4,0.00272,0.2896,195,0.1384,,2.9,0.0366,0.05193,0.06144,0.07031,0.08084,0.09257,0.1052,0.1229,0.1489,0.2293
ALB,Albania,ECA,3,2014,2014,,FALSE,TRUE,58.16801021,1.9,240.099831893454,0.01924,0.002998,6.917e-4,0.003426,0.346,196.4,0.1987,,2.89,0.02853,0.04174,0.05223,0.06312,0.07512,0.08933,0.1059,0.1272,0.1613,0.2554
ALB,Albania,ECA,3,2015,2015,,FALSE,TRUE,58.16801021,1.9,242.867216343303,0.01302,0.001653,2.938e-4,0.001827,0.3291,199.3,0.1774,,2.88,0.03133,0.04524,0.05543,0.06559,0.07608,0.08893,0.1047,0.125,0.1587,0.2489
ALB,Albania,ECA,3,2016,2016,,FALSE,TRUE,58.16801021,1.9,247.676713280732,0.01132,0.001793,4.281e-4,0.002061,0.3371,203.5,0.1876,,2.88,0.02962,0.04366,0.05427,0.06419,0.0754,0.08895,0.1053,0.1275,0.1608,0.2503
ALB,Albania,ECA,3,2017,2017,,FALSE,TRUE,58.16801021,1.9,245.992436746206,0.01728,0.00274,6.691e-4,0.003164,0.3317,201.9,0.1817,,2.87,0.03074,0.04445,0.05469,0.06499,0.07604,0.08907,0.1056,0.127,0.1597,0.2477
DZA,Algeria,MNA,3,1988,1988,,FALSE,FALSE,31.77228691,1.9,200.4312244333,0.06445,0.008908,0.001659,0.01009,0.4019,149.1,0.2817,0.3079,24.44,0.027,0.03839,0.04869,0.05868,0.06898,0.08035,0.09398,0.1124,0.1434,0.3281
DZA,Algeria,MNA,3,1995,1995,,FALSE,FALSE,31.77228691,1.9,190.95721738959,0.05796,0.01142,0.003773,0.01406,0.3533,154.5,0.2085,0.3134,28.76,0.02872,0.04094,0.05222,0.06329,0.0748,0.08756,0.1029,0.1234,0.1573,0.2689
DZA,Algeria,MNA,3,2011,2011.17,,FALSE,FALSE,31.77228691,1.9,247.732177618217,0.004605,0.001534,0.001115,0.001421,0.2762,216,0.1253,0.226,36.66,0.04046,0.05315,0.06358,0.07306,0.08239,0.09232,0.1039,0.119,0.1436,0.2286
AGO,Angola,SSA,3,2000,2000.21,,FALSE,TRUE,73.83311875,1.9,136.712549833209,0.3228,0.1465,0.08866,0.2497,0.5196,86.48,0.5126,,16.4,0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
AGO,Angola,SSA,3,2008,2008.5,,FALSE,TRUE,73.83311875,1.9,120.757728607102,0.3008,0.09639,0.0439,0.1337,0.4272,87.03,0.3116,,21.7,0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231
AGO,Angola,SSA,3,2018,2018.17,,FALSE,TRUE,73.83311875,1.9,97.4429066045014,0.4765,0.2137,0.1234,0.343,0.5127,60.8,0.4779,,30.81,0.0133,0.02428,0.03333,0.04343,0.05584,0.06981,0.08869,0.1157,0.1594,0.3962
