countrycode,countryname,regioncode,coveragetype,year,datayear,datatype,isinterpolated,usemicrodata,ppp,povertyline,mean,headcount,povertygap,povertygapsq,watts,gini,median,mld,polarization,population,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10
ARM,Armenia,ECA,3,1996,1996,,FALSE,FALSE,183.7795948,1.9,162.438879454599,0.179,0.04823,0.01895,0.06238,0.4442,112,0.3355,0.3827,3.17,0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522
ARM,Armenia,ECA,3,1999,1999,,FALSE,TRUE,183.7795948,1.9,122.416688633014,0.1688,0.04068,0.01491,0.0518,0.3622,94.23,0.2184,,3.09,0.03043,0.04518,0.05403,0.06192,0.07164,0.08272,0.09658,0.1158,0.1455,0.2963
ARM,Armenia,ECA,3,2001,2001,,FALSE,TRUE,183.7795948,1.9,116.319326615213,0.1933,0.04448,0.01567,0.0567,0.3536,90.52,0.2063,,3.05,0.0319,0.04538,0.05485,0.06395,0.07321,0.08311,0.09517,0.1134,0.1481,0.291
ARM,Armenia,ECA,3,2002,2002,,FALSE,TRUE,183.7795948,1.9,122.01505544769999,0.1506,0.03234,0.01109,0.04062,0.3478,94.94,0.2,,3.03,0.03336,0.0471,0.05603,0.0643,0.07312,0.08285,0.09525,0.1129,0.1451,0.29
ARM,Armenia,ECA,3,2003,2003,,FALSE,TRUE,183.7795948,1.9,125.405169360063,0.1136,0.02026,0.005727,0.02422,0.3303,100,0.1821,,3.02,0.03683,0.04981,0.05834,0.06614,0.07487,0.08454,0.09568,0.1122,0.1396,0.282
ARM,Armenia,ECA,3,2004,2004,,FALSE,TRUE,183.7795948,1.9,155.480358889625,0.07931,0.01806,0.006638,0.02327,0.3751,115.9,0.2374,,3,0.03076,0.04509,0.05326,0.06146,0.07015,0.07968,0.09251,0.1094,0.1408,0.3169
ARM,Armenia,ECA,3,2005,2005,,FALSE,TRUE,183.7795948,1.9,171.319697725831,0.04452,0.009068,0.00317,0.01141,0.3599,130.5,0.2178,,2.98,0.03334,0.04719,0.05535,0.06281,0.07127,0.08103,0.09263,0.1096,0.139,0.3078
ARM,Armenia,ECA,3,2006,2006,,FALSE,TRUE,183.7795948,1.9,165.36544133909,0.03218,0.005683,0.001618,0.006801,0.2971,140.1,0.1459,,2.96,0.03731,0.052,0.06139,0.07008,0.07954,0.09044,0.1025,0.1188,0.1434,0.2445
ARM,Armenia,ECA,3,2007,2007,,FALSE,TRUE,183.7795948,1.9,184.201498041414,0.02772,0.004862,0.001524,0.006005,0.3123,153.5,0.1601,,2.93,0.0351,0.04896,0.0589,0.06909,0.07864,0.08848,0.1013,0.1195,0.1489,0.2512
ARM,Armenia,ECA,3,2008,2008,,FALSE,TRUE,183.7795948,1.9,188.27357842957,0.01357,0.00289,9.857e-4,0.003631,0.2919,159.8,0.1398,,2.91,0.03854,0.05267,0.06079,0.06992,0.0795,0.09063,0.1041,0.1203,0.1467,0.2369
ARM,Armenia,ECA,3,2009,2009,,FALSE,TRUE,183.7795948,1.9,167.335244465322,0.01922,0.003454,9.341e-4,0.004075,0.2802,143,0.1278,,2.89,0.0399,0.05385,0.06328,0.07171,0.08072,0.09106,0.1037,0.1204,0.1462,0.2292
ARM,Armenia,ECA,3,2010,2010,,FALSE,TRUE,183.7795948,1.9,170.840270126597,0.01903,0.002909,8.036e-4,0.003496,0.2999,142.1,0.1488,,2.88,0.0389,0.05214,0.06074,0.06974,0.07907,0.0886,0.1004,0.1166,0.1435,0.2503
ARM,Armenia,ECA,3,2011,2011,,FALSE,TRUE,183.7795948,1.9,174.399400815073,0.02213,0.003468,9.062e-4,0.004078,0.2935,148.4,0.1416,,2.88,0.03829,0.05207,0.0614,0.07065,0.07988,0.09002,0.1024,0.1197,0.1459,0.2397
ARM,Armenia,ECA,3,2012,2012,,FALSE,TRUE,183.7795948,1.9,180.666800208388,0.0158,0.002675,8.343e-4,0.003283,0.296,152.9,0.1451,,2.88,0.03791,0.05203,0.06113,0.07067,0.08014,0.09054,0.1023,0.1179,0.142,0.2454
ARM,Armenia,ECA,3,2013,2013,,FALSE,TRUE,183.7795948,1.9,187.461233352576,0.02241,0.005215,0.001793,0.00653,0.3058,158.3,0.1566,,2.9,0.03564,0.0506,0.05979,0.06904,0.07927,0.08988,0.1026,0.1193,0.1471,0.2469
ARM,Armenia,ECA,3,2014,2014,,FALSE,TRUE,183.7795948,1.9,192.2681105532,0.02307,0.004061,0.001108,0.004833,0.3148,161.6,0.1652,,2.91,0.03516,0.04933,0.05851,0.0681,0.07856,0.09006,0.1019,0.1178,0.1431,0.2574
ARM,Armenia,ECA,3,2015,2015,,FALSE,TRUE,183.7795948,1.9,206.115064009291,0.01863,0.003502,0.00116,0.004375,0.3236,170.6,0.1764,,2.93,0.03378,0.04844,0.0577,0.06795,0.07811,0.0892,0.1015,0.1164,0.1395,0.2673
ARM,Armenia,ECA,3,2016,2016,,FALSE,TRUE,183.7795948,1.9,216.986387360093,0.01778,0.002925,7.943e-4,0.003506,0.3255,185.1,0.1808,,2.94,0.03265,0.04586,0.05518,0.06597,0.07897,0.09148,0.1057,0.1226,0.1487,0.2528
ARM,Armenia,ECA,3,2017,2017,,FALSE,TRUE,183.7795948,1.9,211.112770897159,0.01352,0.002375,6.562e-4,0.002816,0.3362,167.3,0.1908,,2.94,0.03497,0.04882,0.05771,0.06592,0.07461,0.0845,0.09611,0.1133,0.1403,0.2837
ARM,Armenia,ECA,3,2018,2018,,FALSE,TRUE,183.7795948,1.9,211.060351165757,0.02082,0.003863,0.001068,0.004575,0.3443,166.5,0.2002,,2.95,0.03297,0.04808,0.05709,0.06535,0.07417,0.08457,0.09607,0.1117,0.138,0.292
AUS,Australia,OHI,3,1981,1981,,FALSE,TRUE,1.526641499,1.9,1043.13697132179,0.01,0.004847,0.003296,0.009071,0.3133,875.7,0.1857,,14.93,0.02776,0.04894,0.05986,0.06916,0.07834,0.09062,0.1065,0.1272,0.1584,0.2333
AUS,Australia,OHI,3,1985,1985,,FALSE,TRUE,1.526641499,1.9,1077.87008722533,0.01001,0.0057539999999999996,0.004137,0.01274,0.325,890,0.2018,,15.76,0.02712,0.0476,0.05875,0.06729,0.07685,0.0894,0.104,0.1265,0.1596,0.2429
AUS,Australia,OHI,3,1989,1989,,FALSE,TRUE,1.526641499,1.9,1107.75368681124,0.00676,0.004459,0.003389,0.01019,0.3315,912.9,0.2066,,16.81,0.02631,0.04633,0.05718,0.06652,0.07652,0.08969,0.1055,0.1262,0.1589,0.247
AUS,Australia,OHI,3,1995,1995,,FALSE,TRUE,1.526641499,1.9,1020.02859819947,0.01003,0.006048,0.005265,0.003882,0.3258,839.9,0.2066,,18.07,0.02846,0.04719,0.0578,0.067,0.07708,0.0895,0.1044,0.1247,0.1576,0.2463
AUS,Australia,OHI,3,2001,2001,,FALSE,TRUE,1.526641499,1.9,1175.20200929132,0.00683,0.005911,0.005275,0.003512,0.3346,953.8,0.2173,,19.41,0.0274,0.04641,0.05617,0.06517,0.07552,0.08897,0.1045,0.1268,0.1582,0.2509
AUS,Australia,OHI,3,2003,2003,,FALSE,TRUE,1.526641499,1.9,1211.95162252345,0.009973,0.007548,0.00661,0.0192,0.335,989.8,0.2299,,19.9,0.02719,0.04649,0.05602,0.0653,0.07596,0.08863,0.1049,0.1265,0.1582,0.2508
AUS,Australia,OHI,3,2004,2004,,FALSE,TRUE,1.526641499,1.9,1319.0740759817,0.004993,0.004455,0.004028,0.01758,0.3306,1084,0.2078,,20.13,0.03007,0.04707,0.05651,0.06557,0.07605,0.0882,0.1036,0.1242,0.1556,0.2532
AUS,Australia,OHI,3,2008,2008,,FALSE,TRUE,1.526641499,1.9,1667.80753348944,0.003612,0.003084,0.002633,0.006946,0.3543,1313,0.2248,,21.25,0.028,0.04427,0.05341,0.06265,0.07352,0.0857,0.1021,0.1228,0.1533,0.2742
AUS,Australia,OHI,3,2010,2010,,FALSE,TRUE,1.526641499,1.9,1661.80477253129,0.003492,0.002955,0.0025,0.006537,0.3466,1333,0.2163,,22.03,0.02749,0.04523,0.05477,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
AUS,Australia,OHI,3,2014,2014,,FALSE,TRUE,1.526641499,1.9,1776.5123194222,0.004985,0.003732,0.003091,0.01713,0.344,1422,0.227,,23.48,0.02844,0.04599,0.05614,0.06554,0.07467,0.08655,0.1012,0.12,0.1516,0.2698
AUT,Austria,OHI,3,1987,1987,,FALSE,TRUE,0.847583846,1.9,1308.72154444598,0,0,0,0,0.2304,1205,0.08815,,7.57,0.04405,0.05975,0.06962,0.07872,0.08777,0.09753,0.108,0.1215,0.1402,0.1929
AUT,Austria,OHI,3,1994,1994,,FALSE,TRUE,0.847583846,1.9,1430.71239240926,0.002484,0.002394,0.002308,0.008248,0.3132,1210,0.1833,,7.94,0.03031,0.04963,0.06007,0.06952,0.07906,0.09064,0.1047,0.1217,0.1485,0.2459
AUT,Austria,OHI,3,1995,1995,,FALSE,TRUE,0.847583846,1.9,1219.77915589313,0.00994,0.009505,0.009145,0.00443,0.3106,1088,0.2382,,7.95,0.02293,0.04662,0.05984,0.07184,0.08318,0.09604,0.1107,0.1296,0.1551,0.2241
AUT,Austria,OHI,3,1997,1997,,FALSE,TRUE,0.847583846,1.9,1369.43163290253,0.002091,0.001851,0.001638,0.004526,0.3023,1183,0.1662,,7.97,0.03127,0.05006,0.06114,0.07075,0.08015,0.09265,0.106,0.1236,0.15,0.2344
AUT,Austria,OHI,3,2000,2000,,FALSE,TRUE,0.847583846,1.9,1452.28215366553,0.002416,6.763e-6,1.893e-8,6.772e-6,0.2884,1266,0.1446,,8.01,0.03394,0.05246,0.06235,0.07191,0.08197,0.09315,0.1065,0.123,0.1476,0.2271
AUT,Austria,OHI,3,2003,2003,,FALSE,TRUE,0.847583846,1.9,1490.39077347242,0.003322,0.002643,0.002224,0.008215,0.2947,1292,0.1621,,8.12,0.03301,0.0517,0.0622,0.07221,0.08162,0.09218,0.1053,0.1213,0.1458,0.2347
AUT,Austria,OHI,3,2004,2004,,FALSE,TRUE,0.847583846,1.9,1572.82685737852,8.165e-4,6.685e-4,6.135e-4,0.002133,0.2979,1356,0.154,,8.17,0.03426,0.05121,0.0615,0.07092,0.08101,0.09124,0.1039,0.1207,0.1468,0.2384
AUT,Austria,OHI,3,2005,2005,,FALSE,TRUE,0.847583846,1.9,1503.21093604696,0.001537,0.001024,8.477e-4,0.002981,0.2872,1315,0.145,,8.23,0.03492,0.05267,0.06289,0.07152,0.08189,0.09286,0.1054,0.1224,0.1469,0.2285
AUT,Austria,OHI,3,2006,2006,,FALSE,TRUE,0.847583846,1.9,1538.90808953531,9.011e-4,4.607e-4,2.778e-4,8.163e-4,0.2959,1320,0.1524,,8.27,0.03409,0.05185,0.062330000000000003,0.07103,0.0804,0.09156,0.1045,0.1213,0.1458,0.2371
AUT,Austria,OHI,3,2007,2007,,FALSE,TRUE,0.847583846,1.9,1602.7899071778,0.003723,0.002773,0.002373,0.006769,0.3058,1380,0.1753,,8.3,0.03051,0.04928,0.06055,0.07091,0.08083,0.09244,0.1063,0.1223,0.1484,0.2385
AUT,Austria,OHI,3,2008,2008,,FALSE,TRUE,0.847583846,1.9,1629.59513064782,0.004712,0.002345,0.001666,0.004505,0.3044,1428,0.1748,,8.32,0.03007,0.04983,0.06161,0.07138,0.08185,0.09325,0.1056,0.1203,0.145,0.2411
AUT,Austria,OHI,3,2009,2009,,FALSE,TRUE,0.847583846,1.9,1687.52771084584,0.006562,0.004654,0.004074,0.01734,0.315,1458,0.2008,,8.34,0.02823,0.04845,0.05992,0.07039,0.08087,0.09262,0.1054,0.1207,0.1466,0.2468
AUT,Austria,OHI,3,2010,2010,,FALSE,TRUE,0.847583846,1.9,1704.58877829515,0.004907,0.003535,0.002901,0.005757,0.3025,1485,0.1743,,8.36,0.03082,0.04962,0.06087,0.07119,0.0816,0.09307,0.1062,0.1227,0.1483,0.2357
AUT,Austria,OHI,3,2011,2011,,FALSE,TRUE,0.847583846,1.9,1672.62401087209,0.004154,0.003108,0.002652,0.009326,0.308,1445,0.1837,,8.39,0.02922,0.04908,0.0602,0.07049,0.08094,0.09292,0.1066,0.1237,0.1499,0.2369
AUT,Austria,OHI,3,2012,2012,,FALSE,TRUE,0.847583846,1.9,1634.38692783063,0.006169,0.004468,0.003802,0.01121,0.3048,1424,0.1841,,8.43,0.02847,0.04945,0.0614,0.07152,0.08171,0.09334,0.1068,0.1233,0.1496,0.2345
AUT,Austria,OHI,3,2013,2013,,FALSE,TRUE,0.847583846,1.9,1714.46364838808,0.00338,0.002312,0.001866,0.004231,0.3075,1469,0.1747,,8.48,0.03105,0.05004,0.06035,0.07031,0.08083,0.09162,0.1051,0.1216,0.1464,0.2428
AUT,Austria,OHI,3,2014,2014,,FALSE,TRUE,0.847583846,1.9,1688.03315763295,0.002243,0.001473,0.001212,0.003772,0.3054,1471,0.1716,,8.55,0.03094,0.04938,0.06057,0.07104,0.08171,0.093,0.1054,0.1214,0.1459,0.2407
AUT,Austria,OHI,3,2015,2015,,FALSE,TRUE,0.847583846,1.9,1681.70848559331,0.006772,0.005697,0.005289,0.008061,0.3053,1486,0.1942,,8.64,0.0298,0.0489,0.06067,0.07131,0.08238,0.0941,0.1065,0.1224,0.1456,0.2384
AUT,Austria,OHI,3,2016,2016,,FALSE,TRUE,0.847583846,1.9,1757.88532237667,0.006641,0.005556,0.005097,0.009949,0.308,1540,0.1997,,8.74,0.02789,0.04942,0.06064,0.07118,0.08163,0.09401,0.1065,0.123,0.1472,0.2385
AUT,Austria,OHI,3,2017,2017,,FALSE,TRUE,0.847583846,1.9,1734.36940542229,0.003181,0.002379,0.002064,0.005111,0.2974,1541,0.168,,8.8,0.03035,0.05,0.06105,0.07193,0.08337,0.09479,0.1074,0.1234,0.1478,0.2299
AZE,Azerbaijan,ECA,3,1995,1995,,FALSE,TRUE,0.329418712,1.9,171.557885276913,0.07317,0.02174,0.01026,0.03182,0.3465,139.8,0.2078,,7.69,0.02694,0.04377,0.05496,0.06545,0.07575,0.08791,0.1022,0.1229,0.1524,0.2677
AZE,Azerbaijan,ECA,3,2001,2001,,FALSE,TRUE,0.329418712,1.9,209.449141375954,0.02709,0.00471,0.001365,0.00569,0.3645,159,0.2184,,8.11,0.03056,0.04373,0.05321,0.06212,0.07081,0.08232,0.09652,0.1158,0.1499,0.2951
AZE,Azerbaijan,ECA,3,2002,2002,,FALSE,TRUE,0.329418712,1.9,264.341466222032,4.284e-4,2.178e-5,1.42e-6,2.253e-5,0.2528,225.3,0.1063,,8.17,0.04838,0.06092,0.06833,0.07509,0.08185,0.08892,0.09807,0.1117,0.1349,0.2319
AZE,Azerbaijan,ECA,3,2003,2003,,FALSE,TRUE,0.329418712,1.9,275.395448235101,0,0,0,0,0.2683,234.9,0.1182,,8.23,0.04472,0.05734,0.06554,0.07353,0.08108,0.08972,0.1001,0.1142,0.1378,0.2359
AZE,Azerbaijan,ECA,3,2004,2004,,FALSE,TRUE,0.329418712,1.9,283.405970713239,0,0,0,0,0.2662,236.4,0.1182,,8.31,0.04799,0.05876,0.06657,0.07363,0.08014,0.08717,0.09698,0.1106,0.1346,0.2435
AZE,Azerbaijan,ECA,3,2005,2005,,FALSE,TRUE,0.329418712,1.9,315.137985170192,0,0,0,0,0.2655,261.3,0.1165,,8.39,0.04847,0.05927,0.06624,0.0729,0.07939,0.08707,0.09743,0.1112,0.1362,0.2418
BGD,Bangladesh,SAS,3,1983,1983.5,,FALSE,FALSE,24.8491548,1.9,80.8041057010726,0.299,0.07076,0.02402,0.091,0.2588,72.24,0.1121,0.204,88.42,0.04127,0.0559,0.06679,0.07612,0.08495,0.09409,0.1045,0.118,0.1397,0.2187
BGD,Bangladesh,SAS,3,1985,1985.5,,FALSE,FALSE,24.8491548,1.9,89.0762578507458,0.254,0.04772,0.01353,0.05628,0.2692,76.67,0.1203,0.2095,93.19,0.0447,0.05568,0.06488,0.07333,0.08173,0.09073,0.1013,0.1153,0.1383,0.2341
BGD,Bangladesh,SAS,3,1988,1988.5,,FALSE,FALSE,24.8491548,1.9,78.4411864331293,0.3782,0.09073,0.03004,0.1153,0.2885,66.38,0.1384,0.2253,98.19,0.0416,0.05285,0.06239,0.07122,0.08005,0.08955,0.1007,0.1156,0.1402,0.2458
BGD,Bangladesh,SAS,3,1991,1991.5,,FALSE,TRUE,24.8491548,1.9,71.4617592069527,0.4419,0.1133,0.04077,0.1432,0.2757,61.7,0.1244,,107.98,0.04121,0.05503,0.06388,0.07255,0.08172,0.09162,0.103,0.1174,0.1407,0.2329
BGD,Bangladesh,SAS,3,1995,1995.5,,FALSE,TRUE,24.8491548,1.9,86.760179753839,0.3568,0.08187,0.02753,0.1016,0.3294,67.91,0.1777,,117.65,0.03773,0.05014,0.05864,0.06598,0.0737,0.08315,0.09429,0.112,0.1436,0.2808
BGD,Bangladesh,SAS,3,2000,2000,,FALSE,TRUE,24.8491548,1.9,89.594301171201,0.3478,0.07975,0.026,0.09811,0.3341,69.77,0.1811,,127.66,0.03735,0.04912,0.05666,0.06444,0.07327,0.08292,0.09561,0.114,0.148,0.2786
BGD,Bangladesh,SAS,3,2005,2005,,FALSE,TRUE,24.8491548,1.9,100.005057317538,0.2573,0.05075,0.01458,0.06059,0.332,77.61,0.1786,,139.04,0.0385,0.0491,0.05708,0.06476,0.07302,0.08289,0.09567,0.1138,0.1452,0.28
BGD,Bangladesh,SAS,3,2010,2010,,FALSE,TRUE,24.8491548,1.9,107.03999589499,0.1963,0.03601,0.009937,0.04268,0.3213,85.06,0.1676,,147.58,0.03853,0.05001,0.05833,0.0663,0.07488,0.08482,0.09735,0.1149,0.1456,0.2693
BGD,Bangladesh,SAS,3,2016,2016,,FALSE,TRUE,24.8491548,1.9,117.313327064661,0.1477,0.02711,0.0078,0.03242,0.3239,93.85,0.1718,,157.97,0.03699,0.04937,0.05801,0.06642,0.07512,0.08539,0.09842,0.1159,0.146,0.2684
BLR,Belarus,ECA,3,1993,1993,,FALSE,FALSE,1832.434763,1.9,210.456290398306,8.885e-4,1.754e-4,7.433e-5,2.039e-4,0.216,194.2,0.0774,0.1707,10.24,0.0487,0.06248,0.07237,0.08066,0.08841,0.09634,0.1053,0.1168,0.135,0.194
BLR,Belarus,ECA,3,1995,1995,,FALSE,FALSE,1832.434763,1.9,314.207385087004,0.007041,0.00354,0.00353,0.001768,0.2876,278,0.1429,0.2416,10.19,0.03393,0.05113,0.06219,0.0725,0.08301,0.09434,0.1073,0.1233,0.1468,0.2255
BLR,Belarus,ECA,3,1998,1998,,FALSE,TRUE,1832.434763,1.9,134.760488774257,0.1157,0.02736,0.009967,0.0349,0.3202,113.1,0.1724,,10.07,0.03129,0.04736,0.0579,0.06796,0.07842,0.09018,0.104,0.1222,0.1516,0.2491
BLR,Belarus,ECA,3,1999,1999,,FALSE,TRUE,1832.434763,1.9,142.979061354749,0.1049,0.02646,0.01014,0.03428,0.3174,122.1,0.1712,,10.03,0.02974,0.04644,0.05751,0.06861,0.07976,0.09221,0.1067,0.1252,0.1535,0.2404
BLR,Belarus,ECA,3,2000,2000,,FALSE,TRUE,1832.434763,1.9,158.712801803595,0.07112,0.01734,0.006583,0.02258,0.3117,136,0.1653,,9.98,0.03089,0.04776,0.05896,0.06974,0.08024,0.09159,0.1057,0.1241,0.1506,0.2404
BLR,Belarus,ECA,3,2001,2001,,FALSE,TRUE,1832.434763,1.9,197.021602710634,0.03151,0.006923,0.002419,0.008727,0.3058,169.3,0.1583,,9.93,0.03258,0.04903,0.06029,0.07021,0.08066,0.09156,0.1046,0.122,0.1491,0.2399
BLR,Belarus,ECA,3,2002,2002,,FALSE,TRUE,1832.434763,1.9,216.422194935078,0.02062,0.004615,0.001593,0.005873,0.3034,186.4,0.1559,,9.87,0.03348,0.04935,0.06042,0.07068,0.08057,0.09191,0.1045,0.1212,0.1477,0.2402
BLR,Belarus,ECA,3,2003,2003,,FALSE,TRUE,1832.434763,1.9,223.302312080279,0.01402,0.003468,0.001326,0.004495,0.2882,195.8,0.1397,,9.8,0.03452,0.0511,0.06279,0.07231,0.08198,0.09315,0.1055,0.1229,0.1494,0.2264
BLR,Belarus,ECA,3,2004,2004,,FALSE,TRUE,1832.434763,1.9,250.782605934494,0.003209,6.977e-4,2.228e-4,8.511e-4,0.2648,224.1,0.1159,,9.73,0.03844,0.05519,0.06526,0.07453,0.0843,0.09444,0.1068,0.1218,0.1457,0.2135
BLR,Belarus,ECA,3,2005,2005,,FALSE,TRUE,1832.434763,1.9,308.427012160543,0.0037200000000000002,7.002e-4,1.803e-4,8.144e-4,0.2755,274.4,0.1271,,9.66,0.03632,0.05239,0.06355,0.07445,0.08408,0.09426,0.1068,0.1235,0.1466,0.218
BLR,Belarus,ECA,3,2006,2006,,FALSE,TRUE,1832.434763,1.9,356.620125439119,0.001077,3.858e-4,1.893e-4,5.604e-4,0.2828,314.5,0.1336,,9.6,0.0361,0.05146,0.06258,0.07289,0.08276,0.09412,0.1068,0.1221,0.1471,0.224
BLR,Belarus,ECA,3,2007,2007,,FALSE,TRUE,1832.434763,1.9,409.837404043708,8.375e-4,3.428e-5,2.753e-6,3.574e-5,0.2961,354.8,0.1468,,9.56,0.03508,0.05079,0.06139,0.0708,0.08121,0.09181,0.1042,0.1208,0.1483,0.2357
BLR,Belarus,ECA,3,2008,2008,,FALSE,TRUE,1832.434763,1.9,425.869566384287,0,0,0,0,0.2783,376.3,0.1295,,9.53,0.0369,0.05305,0.06345,0.07295,0.08259,0.09421,0.1071,0.1219,0.1445,0.2233
BLR,Belarus,ECA,3,2009,2009,,FALSE,TRUE,1832.434763,1.9,430.108089180512,2.887e-4,7.088e-5,2.862e-5,9.331e-5,0.2769,381.2,0.1284,,9.51,0.03712,0.05353,0.06453,0.0738,0.08347,0.09345,0.1044,0.1198,0.1441,0.2258
BLR,Belarus,ECA,3,2010,2010,,FALSE,TRUE,1832.434763,1.9,485.232416133142,0,0,0,0,0.2857,421.1,0.134,,9.49,0.03647,0.05165,0.06203,0.07225,0.0823,0.09275,0.1056,0.1222,0.1462,0.2285
BLR,Belarus,ECA,3,2011,2011,,FALSE,TRUE,1832.434763,1.9,497.064538748684,0,0,0,0,0.2715,441.5,0.1219,,9.47,0.03773,0.05377,0.06455,0.07406,0.08335,0.09462,0.1065,0.122,0.1449,0.2185
BLR,Belarus,ECA,3,2012,2012,,FALSE,TRUE,1832.434763,1.9,556.646475267238,0,0,0,0,0.2653,498.2,0.1164,,9.46,0.03957,0.05525,0.06516,0.07476,0.0844,0.0944,0.1055,0.1197,0.1433,0.218
BLR,Belarus,ECA,3,2013,2013,,FALSE,TRUE,1832.434763,1.9,620.56243909565,0,0,0,0,0.2658,548.8,0.1184,,9.47,0.03973,0.05562,0.06546,0.07498,0.08395,0.09365,0.1051,0.1196,0.1413,0.2206
BLR,Belarus,ECA,3,2014,2014,,FALSE,TRUE,1832.434763,1.9,646.272198166365,0,0,0,0,0.2718,568.4,0.1227,,9.47,0.03918,0.0541,0.06476,0.07496,0.08364,0.093,0.1049,0.1187,0.1411,0.2257
